NÚM_REGISTRE,NOM_ENTITAT,ADREÇA,CP,MUNICIPI,COMARCA,TELÈFON_FAX,CORREU_ELECTRÒNIC,TIPUS_ENTITAT,MODALITATS
10420,CLUB D'ATLETISME VALLALTA SANT POL SANT CEBRIA,"Camp Balmanya, s/n",08395,Sant Pol de Mar,Maresme,937600058 /,,Clubs i Associacions Esportives,Atletisme
10421,CLUB ESPORTIU LLAMPS,"Mejia Lequerica, 46, 3r.-1a.",08028,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,"Bàsquetbol Discapacitat Intel·lectual, Tennis Taula Discapacitat Intel·lectual"
10422,CLUB ESPORTIU TORREFARRERA,"Segrià, 8",25126,Torrefarrera,Segrià,/,,Clubs i Associacions Esportives,"Fisic-culturisme, Gimnàstica, Taekwon-do"
10423,CLUB DEPORTIVO COLEGIO SINGUERLIN,"Santiago Rusiñol, 42",08924,Santa Coloma de Gramenet,Barcelonès,/,,Clubs i Associacions Esportives,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Handbol, Voleibol"
10424,CLUB SPORTING RUBI,"Verge del Pilar, 19   baixos",08191,Rubí,Vallès Occidental,/,,Clubs i Associacions Esportives,Futbol
10426,CLUB SUBMARINISME TORTOSA,"Urbanització Torre d'en Gil, 99",43520,Roquetes,Baix Ebre,/,,Clubs i Associacions Esportives,"Activitats subaquàtiques, Fotografia submarina (act subaquàtiques), Pesca submarina (Apnea)"
10427,SOCIETAT DE PESCADORS ESPORTIUS AVINYO,"Vallespir, 14",08279,Avinyó,Bages,93 838 75 02 /,adriacalafelll@gmail.com,Clubs i Associacions Esportives,Pesca Esportiva
10429,CLUB CICLISTA BTT PREMIA DE DALT,"Riera de Sant Pere, 88 - Can Figueres",08338,Premià de Dalt,Maresme,/,,Clubs i Associacions Esportives,"BMX (Ciclisme), BTT (ciclisme en bicicleta tot terreny), Ciclisme, Trial, Trialsin"
10430,CLUB ESCOLA ESPORTIVA ADRIANENSE FUTBOL SALA,"RICART, 4-6",08930,Sant Adrià de Besòs,Barcelonès,934622516 /,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10431,CLUB BASQUET CERVELLO,"Catalunya, 19-39",08758,Cervelló,Baix Llobregat,936602330 /,,Clubs i Associacions Esportives,Basquetbol
10432,ASSOCIACIO ESPORTIVA RAIDS & AVENTURES,"Capdevila, 24",25700,"Seu d'Urgell, la",Alt Urgell,610884702 /,,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Curses d'orientació, Escalada, Excursionisme, Piragüisme"
10433,CLUB DE PETANCA LA SALUT DE SANT FELIU DE LLOBREGAT,"Europa, s/n (Casal d' Avis)",08980,Sant Feliu de Llobregat,Baix Llobregat,/,,Clubs i Associacions Esportives,Petanca
10434,ASSOCIACIO ESPORTIVA DE CAÇA NAVATA,"Era de l' Obre, 2",17744,Navata,Alt Empordà,972 56 50 56 /,,Clubs i Associacions Esportives,Caça
10435,SOCIETAT OCELLAIRE LA UNIO D'OSONA,"Piscina, 18",17403,Sant Hilari Sacalm,Selva,636404813 /,,Clubs i Associacions Esportives,"Caça, Ocells fringíl·lids"
10436,ASSOCIACIO ESPORTIVA STYL QUADS,"Washington, 20",08921,Santa Coloma de Gramenet,Barcelonès,/,,Clubs i Associacions Esportives,"Automobilisme, Motociclisme, Motonàutica"
10437,SOCIETAT OCELLAIRE PIRITOÑO,"Folch i Torres, 23",08380,Malgrat de Mar,Maresme,60066128 /,,Clubs i Associacions Esportives,"Caça, Ocells fringíl·lids"
10438,CLUB DE VELA EMPURIABRAVA - CASTELLO D'EMPURIES,"Joan Carles I, 20",17486,Castelló d'Empúries,Alt Empordà,/,,Clubs i Associacions Esportives,Vela
10439,CLUB SPORTING CUNIT,"Boix, 21",43881,Cunit,Baix Penedès,/,,Clubs i Associacions Esportives,"Futbol, Futbol Set, Futbol sala (Futbol cinc)"
10440,SANT ROC CLUB ESPORTIU,"Catalunya, 36",08680,Gironella,Berguedà,938251455 /,,Clubs i Associacions Esportives,Petanca
10441,CLUB ESPORTIU FONDISTES PENEDES,"c/ Escorxador, núm. 19-21",08720,Vilafranca del Penedès,Alt Penedès,/,,Clubs i Associacions Esportives,Atletisme
10442,CLUB DE GOLF SANT FELIU,"de la font del lleó, 1",08140,Caldes de Montbui,Vallès Oriental,/,,Clubs i Associacions Esportives,Golf
10444,SOCIETAT DE CAÇADORS MONTANT,"Casa Soldat, s/n",25795,Ribera d'Urgellet,Alt Urgell,376338973 /,josepanaton@grauigrau.com,Clubs i Associacions Esportives,"Caça, Caça Menor, Caça major"
10445,CLUB ESPORTIU I BU CHUEN TAO DE CASTELLDEFELS,"Juan de la Cierva, 34-38",08860,Castelldefels,Baix Llobregat,/,,Clubs i Associacions Esportives,Wu-shu
10446,CLUB PATINATGE ARTISTIC VILADECANS,"L'Alzina, 9  1º  3º",08840,Viladecans,Baix Llobregat,936373518 /,,Clubs i Associacions Esportives,Patinatge artístic
10447,CLUB NAUTIC DE SANT JAUME D'ENVEJA,"Ebre, 100",43877,Sant Jaume d'Enveja,Montsià,/,,Clubs i Associacions Esportives,"Motonàutica, Natació, Piragüisme, Rem, Vela"
10448,CLUB DE CAÇA CAN MARCET,CAN MARCET,08295,Sant Vicenç de Castellet,Bages,93-8734983 /,,Clubs i Associacions Esportives,Caça
10449,CLUB TENIS SAN ANDRES,"Concepción Arenal, 151-159",08027,Barcelona,Barcelonès,933408607 /,,Clubs i Associacions Esportives,"Excursionisme, Tennis"
10450,SOCIETAT DE CAÇADORS BADALONA,Ausias March 61-67 (Pavelló Països Catalans),08911,Badalona,Barcelonès,934604246 /,,Clubs i Associacions Esportives,Caça
10451,SOCIETAT DE CAÇADORS COSTAGRAN,"Casa Quiquet, s/n",25655,Isona i Conca Dellà,Pallars Jussà,620 85 59 18 /,,Clubs i Associacions Esportives,"Caça, Caça Menor, Caça major, Concursos de caça petita amb gos (Caça), Concursos de gossos  de caça (Caça), Falconeria, Ocells fringíl·lids, Recorreguts de caça, Sant Umbert (Caça)"
10453,CLUB TAEKWONDO RIBES,"Cervantes, 22  2ª 3ª",08810,Sant Pere de Ribes,Garraf,/,,Clubs i Associacions Esportives,Taekwon-do
10455,SOCIETAT DE CAÇADORS DEL SENGLAR TARADELL,"França, 11",08552,Taradell,Osona,66760444 / 935800774,fgarcia@cartograma2012.com,Clubs i Associacions Esportives,"Caça, Caça Menor, Caça major"
10456,ASSOCIACIO ESPORTIVA DE CAÇA EL CONILL,Afores s/n,17257,Gualta,Baix Empordà,607894851 /,rpujol@blauinf.com,Clubs i Associacions Esportives,Caça
10457,ASSOCIACIO ESPORTIVA GRUP MILLORA,"Cervantes, 118",17230,Palamós,Baix Empordà,972314460 /,,Clubs i Associacions Esportives,Futbol
10458,CLUB PETANCA L'ARBOÇ,"Francesc Macià, 8  2º  1º",43720,"Arboç, l'",Baix Penedès,977671145 /,,Clubs i Associacions Esportives,Petanca
10459,CLUB DE FUTBOL SALA DERSICO,"Creueta, 16",08130,Santa Perpètua de Mogoda,Vallès Occidental,935742269 /,,Clubs i Associacions Esportives,"Futbol, Futbol sala (Futbol cinc)"
10460,CLUB ESPORTIU ESCOLA SANT GERVASI,"c/Sabadell, núm. 41",08100,Mollet del Vallès,Vallès Oriental,935700180 /,santgervasi@santgervasi.org,Clubs i Associacions Esportives,"Basquetbol, Natació, Patinatge sobre rodes, Triatló, Voleibol"
10461,SOCIETAT OCELLAIRE EL NIDO DE PARETS,"Prat de la Riba, 29",08150,Parets del Vallès,Vallès Oriental,653962995 /,lgb56@hotmail.es,Clubs i Associacions Esportives,"Caça, Ocells fringíl·lids"
10462,CLUB HOCKEY FRAGA,"Taquigraf Martí, 5",25008,Lleida,Segrià,/,,Clubs i Associacions Esportives,Hoquei sobre patins
10463,SOCIETAT DE CAÇADORS LA GUILLA PERATALLADA-FORALLAC,"Sis d'Octubre, 102",17100,"Bisbal d'Empordà, la",Baix Empordà,649 901 652 /,labisbalenca@yahoo.es,Clubs i Associacions Esportives,"Caça, Caça Menor, Caça amb Arc, Caça major, Falconeria, Ocells fringíl·lids"
10464,CLUB D'ESQUI PER A CECS I DEFICIENTS VISUALS CATALUNYA,"Calàbria, 66",08015,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,"Atletisme Cecs, Esquí Cecs, Natació cecs"
10465,OLIMPIC CLUB HOQUEI VILANOVA,"Josep Anselm Clavé, 1",08800,Vilanova i la Geltrú,Garraf,/,,Clubs i Associacions Esportives,Hoquei sobre patins
10467,CLUB AGILITY JARA,"Josep Vicenç Foix, 45",08304,Mataró,Maresme,/,,Clubs i Associacions Esportives,Agility
10469,CLUB ESPORTIU ALMACELLES PAC-DOM,"del Nord, 15 baixos",25100,Almacelles,Segrià,973741521 /,,Clubs i Associacions Esportives,"Atletisme, Tennis taula"
10470,SOCIETAT DE CAÇADORS TORRELAMEU,"Molí, 3",25138,Torrelameu,Noguera,973190283 /,paumartinoli@hotmail.com,Clubs i Associacions Esportives,"Caça Menor, Caça major"
10471,SOCIETAT DE CAÇADORS GOSOL,"Guàrdia, 18",25716,Gósol,Berguedà,973370110 /,,Clubs i Associacions Esportives,Caça
10473,ASSOCIACIO DE TAEKWONDO LA SALLE TARRAGONA,"dels Països Catalans, 32 B 2n 3ª",43007,Tarragona,Tarragonès,977218600 /,pedrolatorretaekwondo@gmail.com,Clubs i Associacions Esportives,Taekwon-do
10475,ASSOCIACIO DE DARDS LLEIDA,"Segon Passeig de Ronda, s/n (pavelló)",25180,Alcarràs,Segrià,973791763 /,dartslleida@gmail.com,Clubs i Associacions Esportives,Dards
10476,CLUB ESCOLA DE FUTBOL PLA D'URGELL MOLLERUSSA,"Canal, 16",25230,Mollerussa,Pla d'Urgell,973602530 /,,Clubs i Associacions Esportives,Futbol
10477,CLUB ESPORTIU BUSSEIG TORTOSA,"L'Estadi, s/n (Torotssports)",43500,Tortosa,Baix Ebre,636062495 /,busseigtrtosa@hotmail.com,Clubs i Associacions Esportives,"Activitats subaquàtiques, Fotografia submarina (act subaquàtiques)"
10478,ASOCIACION DEPORTIVA SECTOR NORTE,"Bellavista, 7",43110,"Canonja, La",Tarragonès,977548729 /,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10479,CLUB PETANCA COLLBATO,"Mansuet, 18",08293,Collbató,Baix Llobregat,/,,Clubs i Associacions Esportives,Petanca
10480,CLUB ESPORTIU DIVER SION,"Ramon Turro, 201  1ª  1ª",08005,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,Activitats subaquàtiques
10481,CLUB GIMNASTIC CATALUNYA,"Sant Llorenç, 82",08202,Sabadell,Vallès Occidental,/,,Clubs i Associacions Esportives,"Aeròbic i fitness, Atletisme, Basquetbol, Bàdminton, Escacs, Esgrima, Futbol, Gimnàstica artística, Gimnàstica ritmica, Handbol, Hockey, Korfbal, Patinatge sobre rodes, Tennis, Tennis taula, Voleibol"
10482,CLUB D'ESCAFANDRISME MILANA SUB,"Frederic Mompou, 17 4t.",08190,Sant Cugat del Vallès,Vallès Occidental,/,,Clubs i Associacions Esportives,Escafandrisme
10483,CLUB AGILITY ILURO,"de la Geganta, 111 1r. 2a.",08302,Mataró,Maresme,/,,Clubs i Associacions Esportives,Agility
10484,CLUB AGILITY MATARO,"Pompeu Fabra, 45-51  4t. 1a.",08302,Mataró,Maresme,/,,Clubs i Associacions Esportives,Agility
10485,CLUB FUTBOL SALA MOLINS 99,"Sant Antoni Maria Claret, s/n",08750,Molins de Rei,Baix Llobregat,/,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10486,CLUB ESPORTIU MOTOCLUB BASTARENY,Tomic s/n (Seu d'Entitats),08695,Bagà,Berguedà,/,,Clubs i Associacions Esportives,"Enduro, Moto Cros, Trial"
10487,CLUB D'EXCURSIONISME SANT CEBRIA,"Arenys, 65-67",08035,Barcelona,Barcelonès,93-4205453 /,,Clubs i Associacions Esportives,"Escalada, Esqui de fons, Esquí alpí, Excursionisme, Tresc (Trekking)"
10488,SOCIETAT DE CAÇADORS PAIS DEL CAVA,"Marc Mir, 15",08770,Sant Sadurní d'Anoia,Alt Penedès,/,,Clubs i Associacions Esportives,Caça
10489,SOCIETAT DE CAÇADORS MONTORNES DEL VALLES,"Palau d' Ametlla, 21",08170,Montornès del Vallès,Vallès Oriental,/,,Clubs i Associacions Esportives,"Caça, Caça Menor, Caça amb Arc, Caça major, Falconeria, Ocells fringíl·lids"
10490,CLUB ESPORTIU ALPI BAIX LLOBREGAT,"Angel Guimerà, 16",08840,Viladecans,Baix Llobregat,/,,Clubs i Associacions Esportives,"Alpinisme, Descens de canons i engorjats (espeleologia), Descens en bot de competició (Rafting), Escalada, Esquí alpí, Esquí de muntanya (Entitats Excursionistes), Piragüisme"
10491,CLUB TENNIS SANT LLORENÇ,"La Font, s/n",08791,Sant Llorenç d'Hortons,Alt Penedès,937716060 /,info@mastersports.es,Clubs i Associacions Esportives,"Futbol, Gimnàstica, Padel, Tennis"
10492,ASSOCIACIO ESPORTIVA DE CAÇA ROCA MIRALLA,Antigues Escoles de Ravós del Terri,17844,Cornellà del Terri,Pla de l'Estany,972594278 /,,Clubs i Associacions Esportives,Caça
10493,CLUB FUTBOL SALA SANTA EULALIA DE RONÇANA,"Fuente San Cristobal, 52",08187,Santa Eulàlia de Ronçana,Vallès Oriental,/,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10495,SOCIETAT DE CAÇADORS ALMACELLES,"Joaquim Costa, 37",25100,Almacelles,Segrià,973740639 / 973740639,conosal@hotmail.com,Clubs i Associacions Esportives,"Caça Menor, Caça major"
10496,SOCIETAT DE CAÇADORS FREIXENET DE RINER,"Casa Vilà, s/n",25290,Clariana de Cardener,Solsonès,938417869 /,rafaelmontse@hotmail.com,Clubs i Associacions Esportives,"Caça, Caça Menor"
10498,CLUB Q KAYAK CAP DE CREUS,"Illa, 33",17489,"Port de la Selva, el",Alt Empordà,972126561 /,,Clubs i Associacions Esportives,Caiac polo
10499,CLUB D'ESQUI OSSA MAJOR,"Tarragona, s/n",25300,Tàrrega,Urgell,/,,Clubs i Associacions Esportives,Esports de neu
10500,CLUB D'ESCACS CANOVELLES,"Pi, 19",08420,Canovelles,Vallès Oriental,661265430 /,escacscanovelles@gmail.com,Clubs i Associacions Esportives,Escacs
10501,CLUB VILASSAR PETANCA,"Santa Eugènia, 97  8è 2º  b",08340,Vilassar de Mar,Maresme,937500146 /,,Clubs i Associacions Esportives,Petanca
10502,SOCIEDAD DE CAZADORES LOS CACHIRULOS,"Bruc, 69",08923,Santa Coloma de Gramenet,Barcelonès,934680524 /,,Clubs i Associacions Esportives,Caça
10503,KART CLUB ESPORTIU TORTOSA,"Tortosa, km  4200",43500,Tortosa,Baix Ebre,977445698 /,,Clubs i Associacions Esportives,"Automobilisme, Kàrting"
10504,ASSOCIACIO ESPORTIVA VETERANS FUTBOL REUS,"Recasens i Mercader, 8",43206,Reus,Baix Camp,977330020 /,,Clubs i Associacions Esportives,Futbol
10505,CLUB DE GOLF VILA SECA,"Doctor Gibert, 4  àtic  1a.",43480,Vila-seca,Tarragonès,977393966 /,,Clubs i Associacions Esportives,Golf
10506,CLUB DE GIMNASTICA DE CASTELLAR DEL VALLES,"Joan Maragall, 29",08211,Castellar del Vallès,Vallès Occidental,/,,Clubs i Associacions Esportives,Gimnàstica
10507,CLUB MARITIM DE SA TUNA I AIGUAFREDA,Platja Sa Tuna,17255,Begur,Baix Empordà,680299292 /,clubsatuna@gmail.com,Clubs i Associacions Esportives,"Motonàutica, Piragüisme, Surf, Vela"
10508,CLUB DE TIR IPSC GASTEIZ,"La Plana, 13 A",08190,Sant Cugat del Vallès,Vallès Occidental,935894955 /,,Clubs i Associacions Esportives,"Recorregut de Tir, Tir Olimpic, Tir amb arc"
10509,CLUB DE FUTBOL CAN VILALBA,"Circumval·lació, 3",08630,Abrera,Baix Llobregat,937703981 /,,Clubs i Associacions Esportives,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Handbol"
10510,CLUB HALTEROFILIA SALT,"Països Catalans, s/n -Pavelló d'Esports-",17190,Salt,Gironès,/,halterofiliasalt@hotmail.com,Clubs i Associacions Esportives,Halterofília
10511,CLUB DEPORTIVO ZONA FRANCA,"Mineria, 28",08038,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,"Kick boxing, Taekwon-do"
10512,CLUB D'ESCACS ESPLUGUES L'AVENÇ,"Angel Guimerà, 27",08950,Esplugues de Llobregat,Baix Llobregat,93 371 10 01 /,fischerepr@hotmail.com,Clubs i Associacions Esportives,Escacs
10513,CLUB HALTEROFILIA MATADEPERA,"Maria Pfarr, 10",08230,Matadepera,Vallès Occidental,937871224 /,,Clubs i Associacions Esportives,Halterofília
10514,CLUB BASKET PALAU SACOSTA,"Torres de Palau, 2",17003,Girona,Gironès,972208586 /,,Clubs i Associacions Esportives,Basquetbol
10515,CLUB ESQUI ALPI CERETA,"Cerdanya, 2",17520,Puigcerdà,Cerdanya,972883420 /,info@cealpicereta.com,Clubs i Associacions Esportives,"Ciclisme, Esports de gel, Esports de neu, Esports de tracció, Esqui de fons, Esquí alpí, Esquí artístic (freestyle skiing), Excursionisme, Padel, Patinatge sobre rodes, Surf de neu (snowboard), Tennis, Triatló"
10516,ASSOCIACIO ESPORTIVA FOMENT DE L'ESPORT FINESTRELLES,"Castelao, 164  Entl 2a.",08902,"Hospitalet de Llobregat, l'",Barcelonès,/,,Clubs i Associacions Esportives,"Atletisme, Excursionisme, Gimnàstica, Natació"
10517,CLUB ESPORTIU HIVERNAL DEL BAGES,"Plaça Gran, núm. 7",08251,Santpedor,Bages,609 66 83 80 /,hivernaldelbages@gmail.com,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Excursionisme esportiu"
10519,CLUB ESPORTIU FRANCISCANS SABADELL,"Pizarro,18",08204,Sabadell,Vallès Occidental,937104008 /,admin@santfrancesc.cat,Clubs i Associacions Esportives,"Basquetbol, Escacs, Futbol, Futbol Set, Futbol sala (Futbol cinc), Gimnàstica, Gimnàstica ritmica, Handbol, Hoquei sobre patins, Patinatge artístic, Patinatge sobre rodes, Tennis taula"
10520,CLUB ESPORTIU SANTA OLIVA,"Montserrat Roig, 6",43710,Santa Oliva,Baix Penedès,608 90 03 85 /,cesantaoliva@gmail.com,Clubs i Associacions Esportives,Futbol
10521,CLUB HIPIC LLEIDA,"Partida Boixadors, 144",25198,Lleida,Segrià,/,,Clubs i Associacions Esportives,Hípica
10523,CLUB ESCOLA BASQUET CAN SANT JOAN MONTCADA,"BOSC, 12-14",08110,Montcada i Reixac,Vallès Occidental,935753799 /,,Clubs i Associacions Esportives,Basquetbol
10524,CLUB DEPORTIVO CULTURAL MAXROS PERU,"26 de Gener de 1641, 6",08014,Barcelona,Barcelonès,934541620 /,,Clubs i Associacions Esportives,"Atletisme, Fisic-culturisme, Futbol sala (Futbol cinc), Voleibol"
10525,CLUB DE CICLISME SANT ESTEVE,"Sant Antoni, 86",43480,Vila-seca,Tarragonès,977391430 /,,Clubs i Associacions Esportives,Ciclisme
10526,CLUB FUTBOL SALA SANTA MARGARIDA DE MONTBUI,"Avinguda de l'Esport, s/n",08710,Santa Margarida de Montbui,Anoia,938033396 /,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10527,ESCUDERIA GM - R CLUB ESPORTIU,"Autovia de l'Ametlla, km 0,200",08400,Granollers,Vallès Oriental,/,,Clubs i Associacions Esportives,Automobilisme
10528,CLUB PATIN SPEEDY VILADECANS,"Grups Sant Jordi, 6  4º  2º",08840,Viladecans,Baix Llobregat,/,,Clubs i Associacions Esportives,Patinatge de Velocitat
10529,FUTBOL CLUB CAN PI,"Pedrosa, 22",08908,"Hospitalet de Llobregat, l'",Barcelonès,933362226 /,,Clubs i Associacions Esportives,Futbol
10530,CLUB D'ESCACS FALSET,"La Quartera, 6  - Casal de l'Avi -",43730,Falset,Priorat,977831155 /,,Clubs i Associacions Esportives,Escacs
10531,SOCIETAT DE CAÇADORS PALAU-SATOR,"Migdia, 9",17256,Palau-sator,Baix Empordà,972  63 40 89 /,,Clubs i Associacions Esportives,Caça
10532,CLUB DE FUTBOL ATLETIC LAIETA,"Fondo, 31 Bxos.",08301,Mataró,Maresme,/,,Clubs i Associacions Esportives,Futbol
10533,AMICS DEL MOTOR D'AVIA CLUB ESPORTIU,"Pau Casals, 22  (Ateneu)",08610,Avià,Berguedà,938230000 /,,Clubs i Associacions Esportives,Automobilisme
10534,CLUB ESPORTIU FORMATIU RUBINENC,"Pere Esmendia, 7  3º  2º",08191,Rubí,Vallès Occidental,936992925 /,,Clubs i Associacions Esportives,Futbol
10535,CLUB FUTBOL VALL DEL GES,"Ter, 3",08570,Torelló,Osona,938505071 /,,Clubs i Associacions Esportives,Futbol
10538,CLUB DE GIMNASTICA ANNABEL SERRA,"Comtes d'Urgell, 8",25310,Agramunt,Urgell,/,,Clubs i Associacions Esportives,"Aeròbic i fitness, Gimnàstica ritmica"
10539,ASSOCIACIO ESPORTIVA DE CAÇA PARDINES,"Dalt, 9",17534,Pardines,Ripollès,/,,Clubs i Associacions Esportives,Caça
10540,ASSOCIACIO NATACIO GRAMENET,"Víctor Hugo, s/n",08924,Santa Coloma de Gramenet,Barcelonès,93 468 26 90 /,nataciogramenet@hotmail.com,Clubs i Associacions Esportives,"Natació, Waterpolo"
10541,CLUB ATLETIC BORDILS,"de l'Església, 7",17462,Bordils,Gironès,972 49 09 00 /,,Clubs i Associacions Esportives,"Excursionisme, Handbol"
10542,EGARA BOWLING CLUB,"Textil, s/n Pol. Ind.Sta. Margarida II",08223,Terrassa,Vallès Occidental,93 736 39 06 /,,Clubs i Associacions Esportives,Bowling
10543,CLUB ESPORTIU VILOBINENC,"Nova, 3",17185,Vilobí d'Onyar,Selva,972 47 40 43 /,,Clubs i Associacions Esportives,Futbol
10544,CLUB PLAYAS DE SALOU FUTBOL SALA,"Milà, s/n",43840,Salou,Tarragonès,977 30 92 11 /,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10545,CLUB HANDBOL SANT FOST,"Escoles, s/n",08105,Sant Fost de Campsentelles,Vallès Oriental,618828897 /,handbolsantfost@hotmail.com,Clubs i Associacions Esportives,"Handbol, Handbol platja"
10546,CHAMPION HORSE CLUB ESPORTIU,"Pla de la Cerdera, s/n",25110,Alpicat,Segrià,973.737863 /,info@hipicachampion.com,Clubs i Associacions Esportives,Hípica
10547,CLUB BASQUET BREDA,"Matagalls, 8",17400,Breda,Selva,972.871230 /,,Clubs i Associacions Esportives,Basquetbol
10548,CLUB DE BITLLES MOLLERUSSA,"Joan Burniol, 3",25230,Mollerussa,Pla d'Urgell,973.712376 /,decruzperezantonio@gmail.com,Clubs i Associacions Esportives,Bitlles catalanes
10549,SOCIETAT DE CAÇADORS ALINYA,"del Sol, s/n",25794,Fígols i Alinyà,Alt Urgell,973 324 633 /,guillembajona5@gmail.com,Clubs i Associacions Esportives,"Caça Menor, Caça major"
10550,CLUB ESPORTIU DOSRIUS DEL MARESME,"Lluís Moret, 13",08319,Dosrius,Maresme,937919257 /,,Clubs i Associacions Esportives,"Futbol, Futbol sala (Futbol cinc), Futbol sala (federació futbol sala)"
10551,ASSOCIACIO ESPORTIVA DE CAÇA AMER,"Monestir, s/n",17170,Amer,Selva,670 923 703 /,,Clubs i Associacions Esportives,"Caça, Caça Menor, Recorreguts de caça, Sant Umbert (Caça)"
10552,SOCIETAT OCELLAIRE PRATS DE LLUÇANES,"Montserrat, 14",08513,Prats de Lluçanès,Osona,938560148 /,,Clubs i Associacions Esportives,"Caça, Ocells fringíl·lids"
10553,CLUB ESPORTIU FONT D'EN FARGUES,"Pedrell, 67",08032,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10554,CLUB ESPORTIU PLAZA,"Maresme, 1  baixos",08290,Cerdanyola del Vallès,Vallès Occidental,/,,Clubs i Associacions Esportives,Futbol
10555,CLUB PATI PERPETUENC,"Girona, s/n",08130,Santa Perpètua de Mogoda,Vallès Occidental,/,,Clubs i Associacions Esportives,Hoquei sobre patins
10557,CLUB BALONCESTO TAMARITE,"Juan del Rey, 10",25005,Lleida,Segrià,973 24 60 21 /,,Clubs i Associacions Esportives,Basquetbol
10558,ASSOCIACIO ESPORTIVA DE CAÇA VULPELLAC,"Horts, 3",17111,Forallac,Baix Empordà,/,,Clubs i Associacions Esportives,Caça
10559,CLUB FUTBOL SALA SANT BOI,"Providència, 5  baixos 2",08830,Sant Boi de Llobregat,Baix Llobregat,936409471 /,cfssantboi@gmail.com,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
10560,CLUB DE TAEKWONDO I HAPKIDO HAN KUK,"Renclusa, 31",08191,"Hospitalet de Llobregat, l'",Barcelonès,934372811 /,,Clubs i Associacions Esportives,"Hapkido, Taekwon-do"
10561,CLUB DE FUTBOL ESCOLA LLAVANERES,"Contrabandistes, s/n",08392,Sant Andreu de Llavaneres,Maresme,937952001 /,,Clubs i Associacions Esportives,Futbol
10562,CLUB PETANCA ABRERA,"Pompeu Fabra, 41,",08630,Abrera,Baix Llobregat,/,,Clubs i Associacions Esportives,Petanca
10563,ASSOCIACIO ESPORTIVA NOVA LINEA SPORPOMAR 2000,"Sabadell, s/n",08915,Badalona,Barcelonès,/,,Clubs i Associacions Esportives,"Aeròbic i fitness, Excursionisme, Futbol, Gimnàstica, Natació"
10564,CLUB VOLEIBOL VALL D'HEBRON,"Mare de Déu del Coll, 133  2n.",08032,Barcelona,Barcelonès,93 213 11 77 /,david@cvvh.net,Clubs i Associacions Esportives,"Futbol sala (Futbol cinc), Voleibol"
10566,SOCIETAT DE CAÇADORS LA CARENA,"Montserrat, 7",08693,Casserres,Berguedà,93 823 42 39 /,,Clubs i Associacions Esportives,Caça
10567,CLUB ESPORTIU CLAVER,N-240  Km. 107,25111,Lleida,Segrià,973 72 41 11 /,,Clubs i Associacions Esportives,"Atletisme, Basquetbol, Futbol, Gimnàstica, Handbol, Voleibol"
10569,CLUB ESPORTIU SISTRELLS,"Alcalde Joan Manet, 1",08917,Badalona,Barcelonès,/,trisistrells@gmail.com,Clubs i Associacions Esportives,"Natació, Taekwon-do, Triatló"
10570,ASSOCIACIO ESPORTIVA NATACIO X TOTHOM LLEIDA,"Pla de l'Urgell, 36  1r. 3a.",25001,Lleida,Segrià,670466046 /,natacio@lleida.org,Clubs i Associacions Esportives,"Activitats subaquàtiques, Natació, Salvament aquàtic"
10571,CLUB HIPIC ROSPER,"Partida Mas d'en Puig, s/n",08800,Vilanova i la Geltrú,Garraf,649490362 /,clubhipicorosper@yahoo.es,Clubs i Associacions Esportives,Hípica
10572,CLUB TENNIS I FRONTO CALAF,"Xuriguera, 40",08280,Calaf,Anoia,93 869 82 49 /,gabinetdiarri@gabinetduarri.com,Clubs i Associacions Esportives,"Frontennis, Tennis"
10573,HOQUEI CLUB CASTELLAR,"Sant Feliu, núm. 2 (pavelló Dani Pedrosa)",08211,Castellar del Vallès,Vallès Occidental,937159573 /,administracio@hoqueicastellar.com,Clubs i Associacions Esportives,Hoquei sobre patins
10574,CLUB D'EXCURSIONISME PER A CECS I DEFICIENTS VISUALS CATALUNYA,"Calàbria, 66",08015,Barcelona,Barcelonès,933259200 /,,Clubs i Associacions Esportives,"Atletisme Cecs, Esquí Alpí  Cecs, Esquí de Fons Cecs, Excursionisme Cecs, Natació cecs"
10576,CLUB ESCOLA DE FUTBOL CERVERA,"Guissona, 29   (Bar Jardí)",25200,Cervera,Segarra,973 53 08 88 /,,Clubs i Associacions Esportives,Futbol
